Loading SHD dataset from: ./data
FPTT training  dataset=shd  model=rule
  seed=42  hidden=[256]  n_input_neurons=700
  x_train=(7340, 16257, 2)  n_classes=20  epochs=50
  batch=36  lr=0.001  alpha=0.1  beta=0.5
  lmbda=2.0  rho=0.0  parts=5  clip=1.0
  sync_rate=1  firing_nb=10000  use_tanh=True
  no_reset=False  identity_hh=False  vanilla=False
  train_samples=0  optim=adam
  nlayers=1  dropout=0.3
  accumulate_logits=False  avg_logits=False
Model: rule  params=250,112  device=cuda
epoch=1  loss=3.424348  train_acc=0.2560  val_acc=0.2206  test_acc=0.2337  time=665.4s
epoch=2  loss=2.934573  train_acc=0.3710  val_acc=0.2953  test_acc=0.3273  time=662.9s
epoch=3  loss=2.903293  train_acc=0.4750  val_acc=0.3689  test_acc=0.3317  time=665.9s
epoch=4  loss=2.885347  train_acc=0.6500  val_acc=0.3897  test_acc=0.3357  time=659.5s
epoch=5  loss=2.868509  train_acc=0.6330  val_acc=0.3578  test_acc=0.2765  time=655.5s
epoch=6  loss=2.843924  train_acc=0.8070  val_acc=0.3750  test_acc=0.3251  time=669.6s
epoch=7  loss=2.825132  train_acc=0.8470  val_acc=0.3725  test_acc=0.2805  time=664.4s
epoch=8  loss=2.808686  train_acc=0.9240  val_acc=0.3725  test_acc=0.3273  time=662.4s
epoch=9  loss=2.799545  train_acc=0.9400  val_acc=0.3713  test_acc=0.2805  time=667.1s
epoch=10  loss=2.782087  train_acc=0.9260  val_acc=0.3346  test_acc=0.2610  time=663.7s
